,Info: Tipo,Info: Empresa,Info: Setor,Info: Subsetor,PriceInfo: Cotação,PriceInfo: Data últ cot,PriceInfo: Min 52 sem,PriceInfo: Max 52 sem,PriceInfo: Vol $ méd (2m),MarketValue: Valor de mercado,MarketValue: Valor da firma,MarketValue: Últ balanço processado,MarketValue: Nro Ações,Oscilations: Dia,Oscilations: Mês,Oscilations: 30 dias,Oscilations: 12 meses,Oscilations: 2020,Oscilations: 2019,Oscilations: 2018,Oscilations: 2017,Oscilations: 2016,Oscilations: 2015,,FundamentalIndicators: P/L,FundamentalIndicators: P/VP,FundamentalIndicators: P/EBIT,FundamentalIndicators: PSR,FundamentalIndicators: P/Ativos,FundamentalIndicators: P/Cap Giro,FundamentalIndicators: P/Ativ Circ Liq,FundamentalIndicators: Div Yield,FundamentalIndicators: EV / EBITDA,FundamentalIndicators: EV / EBIT,FundamentalIndicators: Cres Rec (5a),FundamentalIndicators: LPA,FundamentalIndicators: VPA,FundamentalIndicators: Marg Bruta,FundamentalIndicators: Marg EBIT,FundamentalIndicators: Marg Líquida,FundamentalIndicators: EBIT / Ativo,FundamentalIndicators: ROIC,FundamentalIndicators: ROE,FundamentalIndicators: Liquidez Corr,FundamentalIndicators: Div Br/ Patrim,FundamentalIndicators: Giro Ativos,BalanceSheet: Ativo,BalanceSheet: Disponibilidades,BalanceSheet: Ativo Circulante,BalanceSheet: Dív Bruta,BalanceSheet: Dív Líquida,BalanceSheet: Patrim Líq,Demonstrative12M: Receita Líquida,Demonstrative12M: EBIT,Demonstrative12M: Lucro Líquido,Demontrative3M: Receita Líquida,Demontrative3M: EBIT,Demontrative3M: Lucro Líquido,BalanceSheet: Cart de Crédito,BalanceSheet: Depósitos,Demonstrative12M: Result Int Financ,Demonstrative12M: Rec Serviços,Demontrative3M: Result Int Financ,Demontrative3M: Rec Serviços
NORD3,ON,NORDON INDS METALURGICAS SA ON,Máquinas e Equipamentos,Máqs e Equips Industriais,739,26/06/2020,131,1000,25482,48929200,86033200,31/03/2020,6621000,-26.10%,98.12%,121.92%,542.61%,53.64%,251.10%,-77.13%,0.00%,0.00%,0.00%,,-1630970,-035,-7020,3161,287,-102,-032,0.0%,-12343,-12343,116.6%,-000,-2105,91.9%,-45.0%,-0.2%,-4.1%,-4.2%,0.0%,002,-027,009,17023000,176000,1056000,37280000,37104000,-139342000,1548000,-697000,-3000,447000,27000,-46000,,,,,,
OMGE3,ON NM,OMEGA GER ON NM,Energia Elétrica,Energia Elétrica,3499,26/06/2020,2390,4300,24224300,5952950000,9718160000,31/03/2020,170133000,-1.63%,9.28%,15.67%,46.40%,-4.14%,109.17%,0.23%,6.09%,0.00%,0.00%,,-972705,215,1813,590,077,1011,-152,0.0%,1804,2960,70.3%,-000,1624,36.7%,32.5%,0.5%,4.2%,4.7%,-0.0%,246,162,013,7728470000,709264000,993427000,4474470000,3765200000,2762890000,1009190000,328293000,-612000,192873000,6021000,-52934000,,,,,,
DASA3,ON,DIAGNOSTICOS DA AMERICA SA ON,Saúde,Serviços Médico - Hospitalares. Análises e Diagnósticos,6600,18/06/2020,2777,8025,5835,31733700000,34653600000,31/03/2020,480814000,0.00%,1.54%,1.54%,133.51%,15.32%,117.53%,-1.41%,55.91%,75.76%,-0.30%,,-162812,790,12333,662,274,3518,-712,0.6%,4448,13468,13.6%,-004,836,32.8%,5.4%,-0.3%,2.2%,2.6%,-0.5%,141,098,041,11589900000,1000750000,3123540000,3920610000,2919870000,4018650000,4795380000,257305000,-19491000,1456870000,14435000,-78135000,,,,,,
SQIA3,ON,SINQIA ON,Programas e Serviços,Programas e Serviços,1851,26/06/2020,955,2949,18096000,1305860000,1046570000,31/03/2020,70549000,-2.48%,-5.61%,-7.31%,98.61%,-24.45%,287.66%,-4.53%,93.57%,54.75%,11.06%,,-72227,309,233607,705,215,404,674,0.0%,5916,187223,24.5%,-003,600,33.2%,0.3%,-1.0%,0.1%,0.2%,-0.4%,681,019,030,608760000,340917000,379092000,81629000,-259288000,423255000,185235000,559000,-1808000,48622000,-1287000,430000,,,,,,
MAPT4,PN,CIA MARCOPOLO PN,Outros,Outros,6099,24/06/2020,200,20000,18055,56049800,56049800,31/03/2020,919000,0.00%,96.81%,96.81%,2697.71%,87.72%,990.27%,-14.86%,75.00%,-20.00%,-39.02%,,-30462,-991,-34599,-,7251,-,-,0.0%,-34599,-34599,-,-020,-616,-,-,0.0%,-21.0%,-,3.3%,-,-,-,773000,0,0,0,0,-5657000,0,-162000,-184000,0,-74000,-80000,,,,,,
COGN3,ON,COGNA ON,Diversos,Educacional,636,26/06/2020,366,1362,348313000,11935200000,21168700000,31/03/2020,1876610000,-5.22%,20.91%,32.22%,-39.89%,-44.36%,30.33%,-50.09%,41.81%,44.07%,-34.70%,,-28338,065,1590,175,033,377,-103,0.5%,1121,2820,7.5%,-002,975,59.2%,11.0%,-0.7%,2.1%,2.3%,-0.2%,197,066,019,36283300000,2909300000,6448990000,12142800000,9233470000,18294700000,6815550000,750632000,-42117000,1627470000,163402000,-39120000,,,,,,
BKBR3,ON NM,BK BRASIL ON NM,Hoteis e Restaurantes,Restaurante e Similares,1035,26/06/2020,685,2268,23637500,2360890000,2584560000,31/03/2020,228105000,-1.99%,-14.88%,-11.01%,-52.81%,-41.61%,-13.73%,18.45%,-0.85%,0.00%,0.00%,,-23260,136,4842,083,069,2972,-241,0.5%,728,5300,23.3%,-004,761,61.6%,1.7%,-0.4%,1.4%,1.7%,-0.6%,112,040,083,3429390000,467696000,715139000,691373000,223677000,1735260000,2851740000,48761100,-10150000,649078000,-70983000,-55642000,,,,,,
BTOW3,ON,B2W - COMPANHIA GLOBAL DO VAREJO ON,Comércio,Produtos Diversos,10310,26/06/2020,3147,10627,428133000,53944900000,54184100000,31/03/2020,523229000,-2.04%,12.53%,8.07%,218.11%,64.02%,51.36%,104.99%,105.89%,-33.06%,-30.69%,,-18799,958,30218,751,334,1084,-5175,0.0%,7513,30352,-6.4%,-055,1076,29.7%,2.5%,-4.0%,1.1%,2.6%,-5.1%,211,121,045,16129000000,6549580000,9454940000,6788820000,239233000,5631640000,7181660000,178517000,-286959000,1696240000,-18608000,-107963000,,,,,,
LPSB3,ON NM,LOPES BRASIL ON NM,Construção e Engenharia,Intermediação Imobiliária,540,26/06/2020,305,1027,5548640,796795000,650676000,31/12/2019,147555000,-7.06%,43.62%,42.86%,13.92%,-43.34%,50.79%,13.06%,43.33%,74.11%,-64.16%,,-18608,446,3972,540,197,640,-2270,0.0%,1586,3244,-9.1%,-003,121,83.7%,13.6%,-1.9%,4.9%,8.2%,-2.4%,283,005,036,405272000,155330000,192665000,9211000,-146119000,178592000,147514000,20060000,-4282000,44499000,8494000,-1281000,,,,,,
APER3,ON,ALPER SA ON,Previdência e Seguros,Corretoras de Seguros,2707,26/06/2020,1275,3137,1988600,310764000,231530000,31/03/2020,11480000,7.85%,42.10%,44.99%,11.36%,-6.46%,68.31%,47.14%,-39.30%,-0.26%,-68.23%,,-14024,177,-12857,331,118,487,1897,0.2%,7619,-9579,-14.5%,-019,1534,100.0%,-2.6%,-2.4%,-0.9%,-1.4%,-1.3%,261,-,036,263110000,79234000,103429000,0,-79234000,176060000,93978000,-2417000,-2216000,25198000,-269000,-85000,,,,,,
TELB3,ON,TELEBRAS ON,Outros,Outros,15600,26/06/2020,2275,29412,227688,10586900000,9981970000,31/03/2020,67865000,-2.56%,103.23%,122.86%,511.77%,54.46%,266.34%,-26.28%,54.93%,8.45%,45.68%,,-7129,649,-3783,4668,246,1106,-729,0.0%,-11273,-3567,13.4%,-219,2404,-85.2%,-123.4%,-65.5%,-6.5%,-8.3%,-9.1%,458,017,005,4308760000,878109000,1224170000,273135000,-604974000,1631740000,226820000,-279845000,-148504000,63513000,-55563000,-27863000,,,,,,
BOBR4,PN,BOMBRIL SA PN,Prods de Uso Pessoal e de Limpeza,Produtos de Limpeza,227,26/06/2020,126,300,288506,591358000,845713000,31/03/2020,260510000,-1.30%,39.26%,43.67%,3.65%,11.27%,-22.14%,-46.96%,143.35%,28.48%,-35.51%,,-7055,-229,526,056,087,-320,-092,0.0%,620,752,-0.2%,-003,-099,37.9%,10.6%,-0.8%,16.6%,21.8%,3.2%,061,-106,156,679554000,19297000,291981000,273652000,254355000,-258521000,1061670000,112502000,-8382000,267501000,29985000,26596000,,,,,,
JBSS3,ON NM,JBS ON NM,Alimentos,Carnes e Derivados,2118,26/06/2020,1637,3245,468307000,57794900000,114765000000,31/03/2020,2728750000,-2.44%,-3.60%,2.47%,2.02%,-16.01%,122.61%,18.75%,-13.63%,-3.25%,17.98%,,-6037,192,422,027,038,232,-095,2.6%,568,837,5.9%,-035,1103,15.4%,6.3%,-0.3%,8.9%,11.8%,-3.2%,174,251,141,153311000000,18466200000,58757200000,75436600000,56970400000,30089300000,216635000000,13704100000,-957395000,56481400000,2223690000,-5933020000,,,,,,
PRNR3,ON NM,PRINER ON NM,Serviços,Serviços Diversos,940,26/06/2020,658,1497,2476790,357623000,399125000,31/12/2019,38045000,-2.08%,3.30%,18.39%,-29.85%,-29.85%,0.00%,0.00%,0.00%,0.00%,0.00%,,-5854,481,5136,103,149,1094,-965,0.0%,1497,5732,21.3%,-016,195,14.1%,2.0%,-3.1%,2.9%,3.8%,-8.2%,134,116,146,239541000,44528000,127862000,86030000,41502000,74328000,348612000,6963000,-6109000,87888000,4568000,-2954000,,,,,,
ETER3,ON,ETERNIT ON,Construção e Engenharia,Materiais de Construção,367,26/06/2020,196,685,2029330,116611000,229472000,31/03/2020,31774000,1.66%,38.49%,42.25%,66.54%,-8.13%,52.69%,-49.27%,-30.38%,-36.80%,-28.45%,,-5759,-660,-237,024,021,-1518,-036,0.0%,-753,-467,-16.0%,-006,-056,14.3%,-10.3%,-0.4%,-8.9%,-10.3%,11.5%,097,-700,087,552460000,10866000,245358000,123727000,112861000,-17668000,478627000,-49158000,-2025000,113636000,-9302000,-14848000,,,,,,
GOLL4,PN,GOL LINHAS AEREAS INTELIGENTES SA PN,Transporte,Transporte Aéreo,1833,26/06/2020,560,4379,276429000,6519960000,12330600000,31/12/2019,355699000,-4.28%,52.37%,49.15%,-41.72%,-50.19%,46.61%,71.92%,216.02%,83.33%,-83.19%,,-5560,-085,360,047,043,-120,-037,0.0%,348,680,8.8%,-033,-2158,29.3%,13.1%,1.3%,11.9%,15.9%,1.5%,048,-110,091,15298400000,2599190000,4927380000,8409840000,5810650000,-7676670000,13864700000,1813310000,-117273000,3803340000,545589000,351709000,,,,,,
