,Tipo,Empresa,Setor,Subsetor,Cotação,Data últ cot,Min 52 sem,Max 52 sem,Vol $ méd (2m),Valor de mercado,Valor da firma,Últ balanço processado,Nro Ações,oscilations_Dia,oscilations_Mês,oscilations_30 dias,oscilations_12 meses,oscilations_2020,oscilations_2019,oscilations_2018,oscilations_2017,oscilations_2016,oscilations_2015,,indicator_P/L,indicator_P/VP,indicator_P/EBIT,indicator_PSR,indicator_P/Ativos,indicator_P/Cap Giro,indicator_P/Ativ Circ Liq,indicator_Div Yield,indicator_EV / EBITDA,indicator_EV / EBIT,indicator_Cres Rec (5a),indicator_LPA,indicator_VPA,indicator_Marg Bruta,indicator_Marg EBIT,indicator_Marg Líquida,indicator_EBIT / Ativo,indicator_ROIC,indicator_ROE,indicator_Liquidez Corr,indicator_Div Br/ Patrim,indicator_Giro Ativos,Ativo,Disponibilidades,Ativo Circulante,Dív Bruta,Dív Líquida,Patrim Líq,demonstrative12m_Receita Líquida,demonstrative12m_EBIT,demonstrative12m_Lucro Líquido,demontrative3m_Receita Líquida,demontrative3m_EBIT,demontrative3m_Lucro Líquido,Cart de Crédito,Depósitos,demonstrative12m_Result Int Financ,demonstrative12m_Rec Serviços,demontrative3m_Result Int Financ,demontrative3m_Rec Serviços
MILS3,ON NM,MILLS ON NM,Construção e Engenharia,Construção Civil,540,30/06/2020,336,1085,10811900,1360300000,1355500000,31/03/2020,251907000,"0,93%","-0,74%","-0,74%","-10,00%","-48,33%","144,16%","3,88%","5,37%","46,99%","-71,73%",,-3696,123,-7297,275,093,524,1944,"0,0%",894,-7271,"-3,0%",-015,439,"38,1%","-3,8%","-7,4%","-1,3%","-1,6%","-3,3%",251,022,034,1466280000,247962000,431377000,243161000,-4800990,1104900000,494516000,-18643000,-36800000,126097000,2206000,-1020000,,,,,,
TUPY3,ON,TUPY ON,Material de Transporte,Material Rodoviário,1910,30/06/2020,1049,2677,15857100,2753800000,3758190000,31/03/2020,144178000,"-1,50%","25,91%","25,91%","-8,57%","-24,51%","32,39%","17,10%","62,23%","-33,38%","17,60%",,-30506,115,603,055,044,162,-625,"0,0%",476,823,"12,1%",-006,1667,"17,2%","9,2%","-0,2%","7,2%","10,6%","-0,4%",195,099,079,6317620000,1364970000,3473880000,2369370000,1004390000,2403220000,4974620000,456495000,-9027010,1092560000,92721000,-207517000,,,,,,
MNPR3,ON,MINUPAR ON,Alimentos,Carnes e Derivados,548,30/06/2020,360,710,45668,38908000,38328000,31/03/2020,7100000,"7,87%","41,60%","41,60%","18,10%","-7,12%","158,77%","-20,00%","-6,56%","-39,00%","-28,57%",,-210,-010,079,016,018,-010,-008,"0,0%",069,078,"3,5%",-261,-5292,"28,6%","20,4%","-7,7%","22,6%","23,6%","4,9%",017,-000,111,218094000,1035000,81676000,455000,-580000,-375728000,241240000,49283000,-18544000,62914000,14872000,16904000,,,,,,
TESA3,ON NM,TERRA SANTA ON NM,Agropecuária,Agricultura,1700,30/06/2020,979,2450,1049360,368169000,1366450000,31/03/2020,21657000,"1,19%","48,47%","48,47%","12,21%","-22,73%","79,74%","-17,80%","48,90%","25,79%","-73,76%",,-313,047,371,034,014,-392,-037,"0,0%",862,1376,"6,5%",-543,3625,"16,5%","9,3%","-11,0%","3,9%","4,5%","-15,0%",089,130,042,2552060000,24494000,775913000,1022780000,998283000,785162000,1067230000,99300000,-117631000,507944000,117512000,11764000,,,,,,
CSAB3,ON,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA ON,Previdência e Seguros,Seguradoras,4501,19/06/2020,3921,4683,1093,345677000,-,31/03/2020,7680000,"0,00%","12,53%","12,53%","-3,50%","-3,69%","16,48%","-18,35%","43,01%","-9,00%","96,39%",,000,000,-,-,-,-,-,"6,9%",-,-,-,000,000,-,-,-,"0,0%",-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MWET4,PN,WETZEL SA PN,Material de Transporte,Material Rodoviário,425,30/06/2020,240,750,86416,8746500,81345500,31/03/2020,2058000,"-9,57%","30,37%","30,37%","5,72%","-31,45%","109,46%","10,86%","75,66%","15,15%","164,00%",,-022,-004,-075,005,005,-007,-002,"0,0%",-1121,-693,"8,4%",-1890,-10460,"9,6%","-6,7%","-22,4%","-6,7%","-8,2%","18,1%",025,-035,100,174879000,3562000,41707000,76161000,72599000,-215261000,174063000,-11737000,-38903000,40026000,-1915000,-6932000,,,,,,
DMMO3,ON,DOMMO ON,"Petróleo, Gás e Biocombustíveis",Exploração e/ou Refino e Distribuição,158,30/06/2020,048,1040,17706200,426663000,1095110000,31/03/2020,270040000,"-3,07%","36,21%","36,21%","-55,11%","-46,08%","-70,10%","-5,77%","-53,15%","-62,99%","270,31%",,-088,-049,-658,099,034,-107,-022,"0,0%",78785,-1688,"2,2%",-179,-321,"-0,3%","-15,1%","-112,4%","-5,1%","-5,8%","55,8%",034,-083,034,1265770000,49881000,204784000,718330000,668449000,-865738000,429790000,-64891000,-483148000,106087000,-54437000,-397451000,,,,,,
SPRI3,ON,SPRINGER ON,Utilidades Domésticas,Eletrodomésticos,1252,30/06/2020,650,2750,51660,31663100,31662200,31/03/2020,2529000,"-12,45%","18,11%","18,11%","85,48%","28,15%","35,51%","-24,03%","0,85%","-5,90%","-33,33%",,-939,100390,-726,-,96381,-,-,"0,0%",-731,-726,"-83,5%",-133,001,-,-,"0,0%","-13283,0%",-,"-10686,0%",-,-,-,32852,863,10101,0,-863,31540,0,-4363730,-3370360,0,-1726,-3364,,,,,,
SLED4,PN,EDITORA SARAIVA PN,Mídia,"Jornais, Livros e Revistas",092,30/06/2020,067,240,900466,35830300,429011000,31/03/2020,38946000,"-2,13%","33,33%","33,33%","-34,75%","-57,01%","1,42%","-46,31%","18,37%","-25,06%","-15,62%",,-012,-018,-030,006,005,-130,-005,"0,0%",-1065,-357,"-22,1%",-783,-522,"33,4%","-20,0%","-50,7%","-16,5%","-19,5%","150,0%",088,-202,083,727042000,16797000,202033000,409978000,393181000,-203296000,601578000,-120048000,-304943000,136682000,-17186000,-50732000,,,,,,
CEDO3,ON,CIA DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,1380,30/06/2020,541,1802,87949,138000000,349216000,31/03/2020,10000000,"2,22%","42,56%","42,56%","130,00%","53,33%","32,35%","-38,18%","83,33%","-25,00%","-11,11%",,-1440,086,3977,020,019,-640,-057,"0,0%",1491,10064,"14,5%",-096,1612,"12,3%","0,5%","-0,8%","0,5%","0,6%","-5,9%",094,148,095,740216000,27431000,317102000,238647000,211216000,161177000,702379000,3470000,-9581000,161198000,946000,-11457000,,,,,,
